listing_id,date
7202016,2015-07-19
7202016,2015-07-20
7202016,2015-07-26
7202016,2015-08-02
7202016,2015-08-10
7202016,2015-08-23
7202016,2015-09-01
7202016,2015-09-13
7202016,2015-09-21
7202016,2015-09-26
7202016,2015-10-04
7202016,2015-10-12
7202016,2015-11-13
7202016,2015-11-21
7202016,2015-11-29
7202016,2016-01-02
3946674,2014-10-05
3946674,2014-10-13
3946674,2014-11-16
3946674,2014-11-17
3946674,2014-11-30
3946674,2014-12-01
3946674,2014-12-08
3946674,2014-12-15
3946674,2014-12-20
3946674,2014-12-25
3946674,2015-01-11
3946674,2015-02-09
3946674,2015-02-25
3946674,2015-02-27
3946674,2015-03-21
3946674,2015-03-23
3946674,2015-03-25
3946674,2015-03-30
3946674,2015-04-13
3946674,2015-04-27
3946674,2015-05-07
3946674,2015-05-09
3946674,2015-05-11
3946674,2015-05-28
3946674,2015-06-06
3946674,2015-06-15
3946674,2015-06-18
3946674,2015-06-20
3946674,2015-07-05
3946674,2015-07-06
3946674,2015-07-14
3946674,2015-07-21
3946674,2015-12-22
7833113,2015-08-26
7833113,2015-08-31
7833113,2015-09-05
7833113,2015-09-08
7833113,2015-09-13
7833113,2015-09-19
7833113,2015-09-26
7833113,2015-10-06
7833113,2015-10-12
7833113,2015-10-25
7833113,2015-10-30
7833113,2015-11-02
7833113,2015-11-25
7833113,2015-12-01
7833113,2015-12-07
7833113,2015-12-22
8308353,2015-09-14
8308353,2015-09-18
8308353,2015-09-20
8308353,2015-09-28
8308353,2015-09-29
8308353,2015-10-09
8308353,2015-12-03
4277026,2014-11-27
4277026,2015-01-14
4277026,2015-03-29
4277026,2015-05-29
4277026,2015-06-01
4277026,2015-09-28
4277026,2015-10-03
7735100,2015-08-16
7735100,2015-08-22
7735100,2015-08-26
7735100,2015-09-01
7735100,2015-12-25
4701141,2015-03-24
4701141,2015-11-14
7934963,2015-10-01
7934963,2015-10-04
7934963,2015-10-09
7934963,2015-10-11
7934963,2015-10-12
7934963,2015-10-15
7934963,2015-10-17
7934963,2015-10-19
7934963,2015-10-27
7934963,2015-11-01
7934963,2015-11-07
7934963,2015-11-08
7934963,2015-11-11
7934963,2015-11-12
7934963,2015-11-13
7934963,2015-11-15
7934963,2015-11-16
7934963,2015-12-21
2934389,2014-07-08
2934389,2014-08-20
2934389,2014-08-31
2934389,2014-10-12
2934389,2015-07-07
2934389,2015-07-20
2934389,2015-07-25
2934389,2015-08-03
2934389,2015-08-10
2934389,2015-08-30
2934389,2015-09-06
6888107,2015-06-30
6888107,2015-07-21
6888107,2015-07-27
6888107,2015-08-07
6888107,2015-08-10
6888107,2015-08-16
6888107,2015-08-21
6888107,2015-08-29
6888107,2015-09-23
6888107,2015-10-05
6888107,2015-10-10
6888107,2015-10-28
6888107,2015-11-08
7075357,2015-07-30
7075357,2015-08-09
4494948,2014-11-24
4494948,2014-12-14
4494948,2015-01-03
4494948,2015-01-09
4494948,2015-01-19
4494948,2015-02-01
4494948,2015-02-09
4494948,2015-02-15
4494948,2015-02-19
4494948,2015-03-02
4494948,2015-03-19
4494948,2015-03-29
4494948,2015-04-06
4494948,2015-04-17
4494948,2015-04-29
4494948,2015-05-11
4494948,2015-05-14
4494948,2015-05-24
4494948,2015-05-30
4494948,2015-06-15
4494948,2015-06-19
4494948,2015-06-24
4494948,2015-07-07
4494948,2015-07-12
4494948,2015-07-20
4494948,2015-07-27
4494948,2015-08-09
4494948,2015-08-22
4494948,2015-08-31
4494948,2015-09-26
4494948,2015-10-05
4494948,2015-10-16
4494948,2015-12-30
3242605,2014-06-14
3242605,2014-06-16
3242605,2014-06-30
3242605,2014-07-05
3242605,2014-07-06
3242605,2014-07-08
3242605,2014-07-11
3242605,2014-07-15
3242605,2014-07-17
3242605,2014-07-22
3242605,2014-07-24
3242605,2014-07-25
3242605,2014-07-28
3242605,2014-07-31
3242605,2014-08-02
3242605,2014-08-05
3242605,2014-08-11
3242605,2014-08-16
3242605,2014-08-17
3242605,2014-08-28
3242605,2014-09-02
3242605,2014-09-03
3242605,2014-09-07
3242605,2014-09-09
3242605,2014-09-12
3242605,2014-09-22
3242605,2014-09-27
3242605,2014-09-30
3242605,2014-10-02
3242605,2014-10-07
3242605,2014-10-20
3242605,2014-11-02
3242605,2014-12-03
3242605,2014-12-08
3242605,2014-12-17
3242605,2014-12-20
3242605,2014-12-25
3242605,2014-12-30
3242605,2015-01-04
3242605,2015-01-11
3242605,2015-01-18
3242605,2015-02-09
3242605,2015-02-15
3242605,2015-02-21
3242605,2015-02-23
3242605,2015-03-05
3242605,2015-03-09
3242605,2015-03-17
3242605,2015-03-23
3242605,2015-03-26
3242605,2015-03-27
3242605,2015-03-29
3242605,2015-04-01
3242605,2015-04-06
3242605,2015-04-10
3242605,2015-04-15
3242605,2015-04-18
3242605,2015-04-21
3242605,2015-05-05
3242605,2015-05-07
3242605,2015-05-12
3242605,2015-05-21
3242605,2015-05-23
3242605,2015-05-31
3242605,2015-06-04
3242605,2015-06-11
3242605,2015-06-15
3242605,2015-06-18
3242605,2015-06-24
3242605,2015-06-27
3242605,2015-06-30
3242605,2015-07-03
3242605,2015-07-06
3242605,2015-07-09
3242605,2015-07-13
3242605,2015-07-17
3242605,2015-07-18
3242605,2015-07-23
3242605,2015-08-05
3242605,2015-08-07
3242605,2015-08-07
3242605,2015-08-09
3242605,2015-08-11
3242605,2015-08-15
3242605,2015-08-16
3242605,2015-08-23
3242605,2015-08-29
3242605,2015-08-30
3242605,2015-09-02
3242605,2015-09-06
3242605,2015-09-15
3242605,2015-09-23
3242605,2015-09-27
3242605,2015-10-05
3242605,2015-10-14
3242605,2015-10-17
3242605,2015-10-19
3242605,2015-10-24
3242605,2015-10-25
3242605,2015-11-03
3242605,2015-11-12
3242605,2015-11-13
3242605,2015-11-14
3242605,2015-11-15
3242605,2015-11-17
3242605,2015-11-19
3242605,2015-11-23
3242605,2015-11-25
3242605,2015-11-29
7763878,2015-09-01
8536441,2015-10-13
8536441,2015-11-05
8536441,2015-11-09
8536441,2015-11-16
8536441,2015-11-25
8536441,2015-12-08
7550234,2015-08-03
7550234,2015-08-07
7550234,2015-08-12
7550234,2015-08-16
7550234,2015-08-18
7550234,2015-09-01
7550234,2015-09-04
7550234,2015-09-06
7550234,2015-09-08
7550234,2015-09-20
7550234,2015-09-26
7550234,2015-09-29
7550234,2015-10-02
7550234,2015-10-07
7550234,2015-10-19
7550234,2015-10-27
7550234,2015-11-07
7550234,2015-11-17
7550234,2015-11-23
7550234,2015-11-27
7550234,2015-11-29
7550234,2015-12-15
7550234,2015-12-20
2926776,2014-11-09
2926776,2014-11-10
2926776,2015-10-05
2926776,2015-10-07
2926776,2015-10-12
2926776,2015-10-20
2926776,2015-11-09
7327623,2015-07-21
7327623,2015-07-27
7327623,2015-07-31
7327623,2015-08-08
7327623,2015-08-19
7327623,2015-08-24
7327623,2015-08-29
7327623,2015-09-03
7327623,2015-09-08
7327623,2015-09-12
7327623,2015-09-21
7327623,2015-09-29
7327623,2015-10-06
7327623,2015-10-12
7327623,2015-11-28
7327623,2015-12-02
7327623,2015-12-07
7327623,2015-12-19
7327623,2015-12-22
7327623,2015-12-27
7327623,2015-12-31
1205666,2013-06-01
1205666,2013-06-04
1205666,2013-06-07
1205666,2013-06-10
1205666,2013-06-17
1205666,2013-06-30
1205666,2013-07-01
1205666,2013-07-03
1205666,2013-07-04
1205666,2013-07-13
1205666,2013-07-15
1205666,2013-07-20
1205666,2013-07-21
1205666,2013-07-22
1205666,2013-07-23
1205666,2013-07-26
1205666,2013-07-28
1205666,2013-08-09
1205666,2013-08-10
1205666,2013-09-03
1205666,2013-09-05
1205666,2013-09-15
1205666,2013-09-16
1205666,2013-09-17
1205666,2013-09-24
1205666,2013-09-28
1205666,2013-10-02
1205666,2013-11-02
1205666,2013-12-19
1205666,2014-01-27
1205666,2014-02-09
1205666,2014-03-05
1205666,2014-03-26
1205666,2014-03-28
1205666,2014-06-02
1205666,2014-06-04
1205666,2014-06-08
1205666,2014-06-10
1205666,2014-06-18
1205666,2014-06-21
1205666,2014-06-24
1205666,2014-06-25
1205666,2014-06-26
1205666,2014-07-01
1205666,2014-07-03
1205666,2014-07-09
1205666,2014-07-17
1205666,2014-07-19
1205666,2014-07-20
1205666,2014-07-21
1205666,2014-07-25
1205666,2014-07-26
1205666,2014-07-27
1205666,2014-07-29
1205666,2014-07-30
1205666,2014-08-01
1205666,2014-08-05
1205666,2014-08-07
1205666,2014-08-08
1205666,2014-08-13
1205666,2014-08-14
1205666,2014-08-18
1205666,2014-08-19
1205666,2014-08-23
1205666,2014-08-24
1205666,2014-08-26
1205666,2014-08-27
1205666,2014-08-28
1205666,2014-08-30
1205666,2014-09-01
1205666,2014-09-05
1205666,2014-09-07
1205666,2014-09-10
1205666,2014-09-11
1205666,2014-09-13
1205666,2014-09-14
1205666,2014-09-20
1205666,2014-09-21
1205666,2014-09-24
1205666,2014-09-25
1205666,2014-09-26
1205666,2014-09-27
1205666,2014-09-28
1205666,2014-10-03
1205666,2014-10-11
1205666,2014-10-14
1205666,2014-10-16
1205666,2014-11-01
1205666,2014-11-09
1205666,2014-12-10
1205666,2014-12-14
1205666,2014-12-24
1205666,2014-12-27
1205666,2015-01-02
1205666,2015-02-19
1205666,2015-03-18
1205666,2015-03-22
1205666,2015-03-27
1205666,2015-03-28
1205666,2015-04-01
1205666,2015-04-06
1205666,2015-04-20
1205666,2015-04-25
1205666,2015-05-07
1205666,2015-05-12
1205666,2015-05-13
1205666,2015-05-15
1205666,2015-06-01
1205666,2015-06-04
1205666,2015-06-09
1205666,2015-06-14
1205666,2015-06-22
1205666,2015-06-27
1205666,2015-06-28
1205666,2015-07-08
1205666,2015-07-09
